reward_improvement,perturb_type,perturb_idx_0,perturb_idx_1,perturb_idx_2
0.24,large,296,307.0,320.0
0.24,large,324,325.0,326.0
0.24,large,301,306.0,326.0
0.24,large,301,306.0,325.0
0.24,large,301,306.0,324.0
0.24,large,301,306.0,323.0
0.24,large,301,306.0,322.0
0.24,large,301,306.0,321.0
0.24,large,301,306.0,320.0
0.24,large,301,306.0,319.0
0.24,large,301,320.0,321.0
0.24,large,301,319.0,324.0
0.24,large,301,318.0,326.0
0.24,large,301,318.0,325.0
0.24,large,301,318.0,324.0
0.24,large,301,313.0,326.0
0.24,large,301,313.0,322.0
0.24,large,301,307.0,320.0
0.24,large,305,315.0,322.0
0.24,large,305,315.0,320.0
0.24,large,305,306.0,325.0
0.24,large,302,318.0,326.0
0.24,large,302,312.0,318.0
0.24,large,301,323.0,325.0
0.24,large,301,323.0,324.0
0.24,large,301,321.0,324.0
0.24,large,306,319.0,324.0
0.24,large,306,315.0,321.0
0.24,large,306,314.0,322.0
0.24,large,305,322.0,325.0
0.24,large,305,320.0,325.0
0.24,large,305,319.0,326.0
0.24,large,305,319.0,325.0
0.24,large,305,315.0,325.0
0.24,large,318,323.0,325.0
0.24,large,318,323.0,324.0
0.24,large,318,322.0,326.0
0.24,large,318,322.0,325.0
0.24,large,318,322.0,324.0
0.24,large,318,322.0,323.0
0.24,large,318,321.0,326.0
0.24,large,318,321.0,325.0
0.24,large,319,320.0,325.0
0.24,large,319,320.0,324.0
0.24,large,319,320.0,323.0
0.24,large,319,320.0,322.0
0.24,large,319,320.0,321.0
0.24,large,318,325.0,326.0
0.24,large,318,324.0,326.0
0.24,large,318,324.0,325.0
0.24,large,319,322.0,325.0
0.24,large,319,322.0,324.0
0.24,large,319,322.0,323.0
0.24,large,319,321.0,326.0
0.24,large,319,321.0,325.0
0.24,large,319,321.0,324.0
0.24,large,319,321.0,323.0
0.24,large,319,321.0,322.0
0.24,large,320,321.0,322.0
0.24,large,319,325.0,326.0
0.24,large,319,324.0,326.0
0.24,large,319,324.0,325.0
0.24,large,319,323.0,326.0
0.24,large,319,323.0,325.0
0.24,large,319,323.0,324.0
0.24,large,319,322.0,326.0
0.24,large,317,322.0,324.0
0.24,large,317,322.0,323.0
0.24,large,317,321.0,326.0
0.24,large,317,321.0,325.0
0.24,large,317,321.0,324.0
0.24,large,317,321.0,323.0
0.24,large,317,321.0,322.0
0.24,large,317,320.0,326.0
0.24,large,317,325.0,326.0
0.24,large,317,324.0,326.0
0.24,large,317,324.0,325.0
0.24,large,317,323.0,326.0
0.24,large,317,323.0,325.0
0.24,large,317,323.0,324.0
0.24,large,317,322.0,326.0
0.24,large,317,322.0,325.0
0.24,large,318,320.0,321.0
0.24,large,318,319.0,326.0
0.24,large,318,319.0,325.0
0.24,large,318,319.0,324.0
0.24,large,318,319.0,323.0
0.24,large,318,319.0,322.0
0.24,large,318,319.0,321.0
0.24,large,318,319.0,320.0
0.24,large,318,321.0,324.0
0.24,large,318,321.0,323.0
0.24,large,318,321.0,322.0
0.24,large,318,320.0,326.0
0.24,large,318,320.0,325.0
0.24,large,318,320.0,324.0
0.24,large,318,320.0,323.0
0.24,large,318,320.0,322.0
0.24,large,316,323.0,325.0
0.24,large,316,323.0,324.0
0.24,large,316,322.0,326.0
0.24,large,316,322.0,325.0
0.24,large,316,322.0,324.0
0.24,large,316,322.0,323.0
0.24,large,316,321.0,326.0
0.24,large,316,321.0,325.0
0.24,large,317,318.0,322.0
0.24,large,317,318.0,321.0
0.24,large,317,318.0,320.0
0.24,large,317,318.0,319.0
0.24,large,316,325.0,326.0
0.24,large,316,324.0,326.0
0.24,large,316,324.0,325.0
0.24,large,316,323.0,326.0
0.24,large,317,319.0,323.0
0.24,large,317,319.0,322.0
0.24,large,317,319.0,321.0
0.24,large,317,319.0,320.0
0.24,large,317,318.0,326.0
0.24,large,317,318.0,325.0
0.24,large,317,318.0,324.0
0.24,large,317,318.0,323.0
0.24,large,317,320.0,325.0
0.24,large,317,320.0,324.0
0.24,large,317,320.0,323.0
0.24,large,317,320.0,322.0
0.24,large,317,320.0,321.0
0.24,large,317,319.0,326.0
0.24,large,317,319.0,325.0
0.24,large,317,319.0,324.0
0.24,large,316,317.0,326.0
0.24,large,316,317.0,325.0
0.24,large,316,317.0,324.0
0.24,large,316,317.0,323.0
0.24,large,316,317.0,322.0
0.24,large,316,317.0,321.0
0.24,large,316,317.0,320.0
0.24,large,316,317.0,319.0
0.24,large,316,318.0,326.0
0.24,large,316,318.0,325.0
0.24,large,316,318.0,324.0
0.24,large,316,318.0,323.0
0.24,large,316,318.0,322.0
0.24,large,316,318.0,321.0
0.24,large,316,318.0,320.0
0.24,large,316,318.0,319.0
0.24,large,316,320.0,321.0
0.24,large,316,319.0,326.0
0.24,large,316,319.0,325.0
0.24,large,316,319.0,324.0
0.24,large,316,319.0,323.0
0.24,large,316,319.0,322.0
0.24,large,316,319.0,321.0
0.24,large,316,319.0,320.0
0.24,large,316,321.0,324.0
0.24,large,316,321.0,323.0
0.24,large,316,321.0,322.0
0.24,large,316,320.0,326.0
0.24,large,316,320.0,325.0
0.24,large,316,320.0,324.0
0.24,large,316,320.0,323.0
0.24,large,316,320.0,322.0
0.24,large,315,319.0,322.0
0.24,large,315,319.0,321.0
0.24,large,315,319.0,320.0
0.24,large,315,318.0,326.0
0.24,large,315,318.0,324.0
0.24,large,315,318.0,323.0
0.24,large,315,318.0,322.0
0.24,large,315,318.0,321.0
0.24,large,315,320.0,324.0
0.24,large,315,320.0,323.0
0.24,large,315,320.0,322.0
0.24,large,315,320.0,321.0
0.24,large,315,319.0,326.0
0.24,large,315,319.0,325.0
0.24,large,315,319.0,324.0
0.24,large,315,319.0,323.0
0.24,large,315,322.0,325.0
0.24,large,315,322.0,324.0
0.24,large,315,322.0,323.0
0.24,large,315,321.0,326.0
0.24,large,315,321.0,325.0
0.24,large,315,321.0,323.0
0.24,large,315,321.0,322.0
0.24,large,315,320.0,326.0
0.24,large,316,317.0,318.0
0.24,large,315,325.0,326.0
0.24,large,315,324.0,326.0
0.24,large,315,324.0,325.0
0.24,large,315,323.0,326.0
0.24,large,315,323.0,325.0
0.24,large,315,323.0,324.0
0.24,large,315,322.0,326.0
0.24,large,314,323.0,325.0
0.24,large,314,323.0,324.0
0.24,large,314,322.0,326.0
0.24,large,314,322.0,325.0
0.24,large,314,322.0,324.0
0.24,large,314,322.0,323.0
0.24,large,314,321.0,326.0
0.24,large,314,321.0,325.0
0.24,large,315,316.0,320.0
0.24,large,315,316.0,319.0
0.24,large,315,316.0,318.0
0.24,large,315,316.0,317.0
0.24,large,314,325.0,326.0
0.24,large,314,324.0,326.0
0.24,large,314,324.0,325.0
0.24,large,314,323.0,326.0
0.24,large,315,317.0,319.0
0.24,large,315,317.0,318.0
0.24,large,315,316.0,326.0
0.24,large,315,316.0,325.0
0.24,large,315,316.0,324.0
0.24,large,315,316.0,323.0
0.24,large,315,316.0,322.0
0.24,large,315,316.0,321.0
0.24,large,315,318.0,319.0
0.24,large,315,317.0,326.0
0.24,large,315,317.0,325.0
0.24,large,315,317.0,324.0
0.24,large,315,317.0,323.0
0.24,large,315,317.0,322.0
0.24,large,315,317.0,321.0
0.24,large,315,317.0,320.0
0.24,large,314,317.0,325.0
0.24,large,314,317.0,324.0
0.24,large,314,317.0,323.0
0.24,large,314,317.0,322.0
0.24,large,314,317.0,321.0
0.24,large,314,317.0,320.0
0.24,large,314,317.0,319.0
0.24,large,314,317.0,318.0
0.24,large,314,318.0,325.0
0.24,large,314,318.0,324.0
0.24,large,314,318.0,323.0
0.24,large,314,318.0,322.0
0.24,large,314,318.0,321.0
0.24,large,314,318.0,320.0
0.24,large,314,318.0,319.0
0.24,large,314,317.0,326.0
0.24,large,314,319.0,326.0
0.24,large,314,319.0,325.0
0.24,large,314,319.0,324.0
0.24,large,314,319.0,323.0
0.24,large,314,319.0,322.0
0.24,large,314,319.0,321.0
0.24,large,314,319.0,320.0
0.24,large,314,318.0,326.0
0.24,large,314,321.0,324.0
0.24,large,314,321.0,323.0
0.24,large,314,321.0,322.0
0.24,large,314,320.0,325.0
0.24,large,314,320.0,324.0
0.24,large,314,320.0,323.0
0.24,large,314,320.0,322.0
0.24,large,314,320.0,321.0
0.24,large,313,323.0,325.0
0.24,large,313,323.0,324.0
0.24,large,313,322.0,326.0
0.24,large,313,322.0,325.0
0.24,large,313,322.0,324.0
0.24,large,313,322.0,323.0
0.24,large,313,321.0,326.0
0.24,large,313,321.0,325.0
0.24,large,314,315.0,320.0
0.24,large,314,315.0,319.0
0.24,large,314,315.0,318.0
0.24,large,314,315.0,317.0
0.24,large,313,325.0,326.0
0.24,large,313,324.0,326.0
0.24,large,313,324.0,325.0
0.24,large,313,323.0,326.0
0.24,large,314,316.0,318.0
0.24,large,314,316.0,317.0
0.24,large,314,315.0,326.0
0.24,large,314,315.0,325.0
0.24,large,314,315.0,324.0
0.24,large,314,315.0,323.0
0.24,large,314,315.0,322.0
0.24,large,314,315.0,321.0
0.24,large,314,316.0,326.0
0.24,large,314,316.0,325.0
0.24,large,314,316.0,324.0
0.24,large,314,316.0,323.0
0.24,large,314,316.0,322.0
0.24,large,314,316.0,321.0
0.24,large,314,316.0,320.0
0.24,large,314,316.0,319.0
0.24,large,313,317.0,326.0
0.24,large,313,317.0,325.0
0.24,large,313,317.0,324.0
0.24,large,313,317.0,323.0
0.24,large,313,317.0,322.0
0.24,large,313,317.0,321.0
0.24,large,313,317.0,320.0
0.24,large,313,317.0,319.0
0.24,large,313,318.0,326.0
0.24,large,313,318.0,325.0
0.24,large,313,318.0,324.0
0.24,large,313,318.0,323.0
0.24,large,313,318.0,322.0
0.24,large,313,318.0,321.0
0.24,large,313,318.0,320.0
0.24,large,313,318.0,319.0
0.24,large,313,320.0,321.0
0.24,large,313,319.0,326.0
0.24,large,313,319.0,325.0
0.24,large,313,319.0,324.0
0.24,large,313,319.0,323.0
0.24,large,313,319.0,322.0
0.24,large,313,319.0,321.0
0.24,large,313,319.0,320.0
0.24,large,313,321.0,324.0
0.24,large,313,321.0,323.0
0.24,large,313,321.0,322.0
0.24,large,313,320.0,326.0
0.24,large,313,320.0,325.0
0.24,large,313,320.0,324.0
0.24,large,313,320.0,323.0
0.24,large,313,320.0,322.0
0.24,large,313,314.0,323.0
0.24,large,313,314.0,322.0
0.24,large,313,314.0,321.0
0.24,large,313,314.0,320.0
0.24,large,313,314.0,319.0
0.24,large,313,314.0,318.0
0.24,large,313,314.0,317.0
0.24,large,312,325.0,326.0
0.24,large,313,315.0,321.0
0.24,large,313,315.0,320.0
0.24,large,313,315.0,319.0
0.24,large,313,315.0,318.0
0.24,large,313,315.0,317.0
0.24,large,313,314.0,326.0
0.24,large,313,314.0,325.0
0.24,large,313,314.0,324.0
0.24,large,313,316.0,319.0
0.24,large,313,316.0,318.0
0.24,large,313,316.0,317.0
0.24,large,313,315.0,326.0
0.24,large,313,315.0,325.0
0.24,large,313,315.0,324.0
0.24,large,313,315.0,323.0
0.24,large,313,315.0,322.0
0.24,large,313,317.0,318.0
0.24,large,313,316.0,326.0
0.24,large,313,316.0,325.0
0.24,large,313,316.0,324.0
0.24,large,313,316.0,323.0
0.24,large,313,316.0,322.0
0.24,large,313,316.0,321.0
0.24,large,313,316.0,320.0
0.24,large,312,319.0,321.0
0.24,large,312,319.0,320.0
0.24,large,312,318.0,326.0
0.24,large,312,318.0,325.0
0.24,large,312,318.0,324.0
0.24,large,312,318.0,323.0
0.24,large,312,318.0,322.0
0.24,large,312,318.0,321.0
0.24,large,312,320.0,323.0
0.24,large,312,320.0,322.0
0.24,large,312,320.0,321.0
0.24,large,312,319.0,326.0
0.24,large,312,319.0,325.0
0.24,large,312,319.0,324.0
0.24,large,312,319.0,323.0
0.24,large,312,319.0,322.0
0.24,large,312,321.0,326.0
0.24,large,312,321.0,325.0
0.24,large,312,321.0,324.0
0.24,large,312,321.0,323.0
0.24,large,312,321.0,322.0
0.24,large,312,320.0,326.0
0.24,large,312,320.0,325.0
0.24,large,312,320.0,324.0
0.24,large,312,324.0,326.0
0.24,large,312,323.0,326.0
0.24,large,312,323.0,325.0
0.24,large,312,323.0,324.0
0.24,large,312,322.0,326.0
0.24,large,312,322.0,325.0
0.24,large,312,322.0,324.0
0.24,large,312,322.0,323.0
0.24,large,312,315.0,322.0
0.24,large,312,315.0,321.0
0.24,large,312,315.0,320.0
0.24,large,312,315.0,319.0
0.24,large,312,315.0,318.0
0.24,large,312,315.0,317.0
0.24,large,312,314.0,326.0
0.24,large,312,314.0,325.0
0.24,large,312,316.0,321.0
0.24,large,312,316.0,320.0
0.24,large,312,316.0,319.0
0.24,large,312,316.0,317.0
0.24,large,312,315.0,326.0
0.24,large,312,315.0,325.0
0.24,large,312,315.0,324.0
0.24,large,312,315.0,323.0
0.24,large,312,317.0,320.0
0.24,large,312,317.0,319.0
0.24,large,312,317.0,318.0
0.24,large,312,316.0,326.0
0.24,large,312,316.0,325.0
0.24,large,312,316.0,324.0
0.24,large,312,316.0,323.0
0.24,large,312,316.0,322.0
0.24,large,312,318.0,320.0
0.24,large,312,318.0,319.0
0.24,large,312,317.0,326.0
0.24,large,312,317.0,325.0
0.24,large,312,317.0,324.0
0.24,large,312,317.0,323.0
0.24,large,312,317.0,322.0
0.24,large,312,317.0,321.0
0.24,large,226,322.0,325.0
0.24,large,226,322.0,324.0
0.24,large,226,322.0,323.0
0.24,large,226,321.0,326.0
0.24,large,226,321.0,325.0
0.24,large,226,321.0,324.0
0.24,large,226,321.0,323.0
0.24,large,226,321.0,322.0
0.24,large,312,313.0,318.0
0.24,large,312,313.0,317.0
0.24,large,226,325.0,326.0
0.24,large,226,324.0,326.0
0.24,large,226,324.0,325.0
0.24,large,226,323.0,326.0
0.24,large,226,323.0,324.0
0.24,large,226,322.0,326.0
0.24,large,312,313.0,326.0
0.24,large,312,313.0,325.0
0.24,large,312,313.0,324.0
0.24,large,312,313.0,323.0
0.24,large,312,313.0,322.0
0.24,large,312,313.0,321.0
0.24,large,312,313.0,320.0
0.24,large,312,313.0,319.0
0.24,large,312,314.0,324.0
0.24,large,312,314.0,323.0
0.24,large,312,314.0,322.0
0.24,large,312,314.0,321.0
0.24,large,312,314.0,320.0
0.24,large,312,314.0,319.0
0.24,large,312,314.0,318.0
0.24,large,312,314.0,317.0
0.24,large,226,317.0,323.0
0.24,large,226,317.0,322.0
0.24,large,226,317.0,321.0
0.24,large,226,317.0,320.0
0.24,large,226,317.0,319.0
0.24,large,226,317.0,318.0
0.24,large,226,316.0,326.0
0.24,large,226,316.0,325.0
0.24,large,226,318.0,323.0
0.24,large,226,318.0,322.0
0.24,large,226,318.0,321.0
0.24,large,226,318.0,320.0
0.24,large,226,318.0,319.0
0.24,large,226,317.0,326.0
0.24,large,226,317.0,325.0
0.24,large,226,317.0,324.0
0.24,large,226,319.0,324.0
0.24,large,226,319.0,323.0
0.24,large,226,319.0,322.0
0.24,large,226,319.0,321.0
0.24,large,226,319.0,320.0
0.24,large,226,318.0,326.0
0.24,large,226,318.0,325.0
0.24,large,226,318.0,324.0
0.24,large,226,320.0,326.0
0.24,large,226,320.0,325.0
0.24,large,226,320.0,324.0
0.24,large,226,320.0,323.0
0.24,large,226,320.0,322.0
0.24,large,226,320.0,321.0
0.24,large,226,319.0,326.0
0.24,large,226,319.0,325.0
0.24,large,226,314.0,317.0
0.24,large,226,313.0,326.0
0.24,large,226,313.0,325.0
0.24,large,226,313.0,324.0
0.24,large,226,313.0,323.0
0.24,large,226,313.0,322.0
0.24,large,226,313.0,321.0
0.24,large,226,313.0,320.0
0.24,large,226,314.0,325.0
0.24,large,226,314.0,324.0
0.24,large,226,314.0,323.0
0.24,large,226,314.0,322.0
0.24,large,226,314.0,321.0
0.24,large,226,314.0,320.0
0.24,large,226,314.0,319.0
0.24,large,226,314.0,318.0
